time_index,values,outlier,series_id
2017-01-01,35.523293,0,1
2017-01-02,41.12043,0,1
2017-01-03,37.308064,0,1
2017-01-04,35.516994,0,1
2017-01-05,35.80234,0,1
2017-01-06,33.612362,0,1
2017-01-07,30.612885,0,1
2017-01-08,29.3128,0,1
2017-01-09,32.90164,0,1
2017-01-10,32.29081,0,1
2017-01-11,35.05376,0,1
2017-01-12,36.965374,0,1
2017-01-13,41.282997,0,1
2017-01-14,37.630646,0,1
2017-01-15,38.861565,0,1
2017-01-16,45.525455,0,1
2017-01-17,42.0282,0,1
2017-01-18,41.416725,0,1
2017-01-19,41.901802,0,1
2017-01-20,41.121807,0,1
2017-01-21,35.15962,0,1
2017-01-22,33.796703,0,1
2017-01-23,36.10722,0,1
2017-01-24,39.436005,0,1
2017-01-25,42.49926,0,1
2017-01-26,42.530075,0,1
2017-01-27,39.10057,0,1
2017-01-28,35.4049,0,1
2017-01-29,34.58665,0,1
2017-01-30,36.198563,0,1
2017-01-31,36.495735,0,1
2017-02-01,34.57264,0,1
2017-02-02,37.446487,0,1
2017-02-03,34.13361,0,1
2017-02-04,29.930113,0,1
2017-02-05,29.275946,0,1
2017-02-06,34.43221,0,1
2017-02-07,36.498814,0,1
2017-02-08,40.02391,0,1
2017-02-09,43.447266,0,1
2017-02-10,40.994022,0,1
2017-02-11,33.400818,0,1
2017-02-12,32.59011,0,1
2017-02-13,33.672447,0,1
2017-02-14,30.604889,0,1
2017-02-15,31.317226,0,1
2017-02-16,37.307053,0,1
2017-02-17,40.18342,0,1
2017-02-18,39.332096,0,1
2017-02-19,41.163723,0,1
2017-02-20,40.445343,0,1
2017-02-21,38.95648,0,1
2017-02-22,34.7588,0,1
2017-02-23,32.342884,0,1
2017-02-24,32.04268,0,1
2017-02-25,28.572752,0,1
2017-02-26,30.353254,0,1
2017-02-27,34.69548,0,1
2017-02-28,34.957954,0,1
2017-03-01,33.368664,0,1
2017-03-02,36.00991,0,1
2017-03-03,41.737465,0,1
2017-03-04,40.592495,0,1
2017-03-05,40.371143,0,1
2017-03-06,45.306374,0,1
2017-03-07,43.00724,0,1
2017-03-08,44.902855,0,1
2017-03-09,41.614628,0,1
2017-03-10,36.948433,0,1
2017-03-11,33.27707,0,1
2017-03-12,34.57468,0,1
2017-03-13,38.94061,0,1
2017-03-14,34.439484,0,1
2017-03-15,31.695066,0,1
2017-03-16,31.47891,0,1
2017-03-17,25.902672,0,1
2017-03-18,21.47421,0,1
2017-03-19,26.347807,0,1
2017-03-20,30.571932,0,1
2017-03-21,29.296616,0,1
2017-03-22,30.201008,0,1
2017-03-23,30.705423,0,1
2017-03-24,34.57795,0,1
2017-03-25,33.986732,0,1
2017-03-26,37.816086,0,1
2017-03-27,44.012157,0,1
2017-03-28,43.81623,0,1
2017-03-29,39.700222,0,1
2017-03-30,41.32919,0,1
2017-03-31,39.523575,0,1
2017-04-01,35.471165,0,1
2017-04-02,32.5392,0,1
2017-04-03,32.96722,0,1
2017-04-04,31.382042,0,1
2017-04-05,34.828053,0,1
2017-04-06,34.418694,0,1
2017-04-07,34.42525,0,1
2017-04-08,32.657856,0,1
2017-04-09,36.021427,0,1
2017-04-10,41.20465,0,1
2017-04-11,40.222355,0,1
2017-04-12,39.32483,0,1
2017-04-13,35.06148,0,1
2017-04-14,29.171057,0,1
2017-04-15,23.579803,0,1
2017-04-16,28.054577,0,1
2017-04-17,38.340263,0,1
2017-04-18,39.08578,0,1
2017-04-19,39.6462,0,1
2017-04-20,35.891197,0,1
2017-04-21,37.154366,0,1
2017-04-22,35.344646,0,1
2017-04-23,33.581116,0,1
2017-04-24,32.444653,0,1
2017-04-25,31.231134,0,1
2017-04-26,34.115177,0,1
2017-04-27,35.99752,0,1
2017-04-28,42.162548,0,1
2017-04-29,40.22085,0,1
2017-04-30,37.758663,0,1
2017-05-01,39.279736,0,1
2017-05-02,37.220932,0,1
2017-05-03,39.01019,0,1
2017-05-04,40.374657,0,1
2017-05-05,41.040573,0,1
2017-05-06,35.399082,0,1
2017-05-07,28.845266,0,1
2017-05-08,34.006527,0,1
2017-05-09,34.709343,0,1
2017-05-10,32.151672,0,1
2017-05-11,34.014824,0,1
